level_0,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,RB50392,WASHINGTON,F,Master,793690,0,1000,0,Personal Auto,FOUR-DOOR CAR,2
1,QZ44356,ARIZONA,F,Bachelor,697953,0,94,0,Personal Auto,FOUR-DOOR CAR,1131
2,AI49188,NEVADA,F,Bachelor,1288743,48767,108,0,Personal Auto,TWO-DOOR CAR,566
3,WW63253,CALIFORNIA,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529
4,GA49547,WASHINGTON,M,High School or Below,536307,36357,68,0,Personal Auto,FOUR-DOOR CAR,17
5,OC83172,OREGON,F,Bachelor,825629,62902,69,0,Personal Auto,TWO-DOOR CAR,159
6,XZ87318,OREGON,F,College,538089,55350,67,0,Corporate Auto,FOUR-DOOR CAR,321
7,CF85061,ARIZONA,M,Master,721610,0,101,0,Corporate Auto,FOUR-DOOR CAR,363
8,DY87989,OREGON,M,Bachelor,2412750,14072,71,0,Corporate Auto,FOUR-DOOR CAR,511
9,BQ94931,OREGON,F,College,738817,28812,93,0,Special Auto,FOUR-DOOR CAR,425
10,SX51350,CALIFORNIA,M,College,473899,0,67,0,Personal Auto,FOUR-DOOR CAR,482
11,VQ65197,CALIFORNIA,F,College,819719,0,110,0,Personal Auto,SUV,528
12,DP39365,CALIFORNIA,F,Master,879879,77026,110,2,Corporate Auto,FOUR-DOOR CAR,472
13,SJ95423,ARIZONA,F,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528
14,IL66569,CALIFORNIA,F,College,538443,83689,70,2,Corporate Auto,FOUR-DOOR CAR,307
15,BW63560,OREGON,F,Bachelor,746313,24599,64,1,Corporate Auto,FOUR-DOOR CAR,42
16,FV94802,NEVADA,F,High School or Below,256686,25049,67,0,Personal Auto,TWO-DOOR CAR,454
17,OE15005,California,F,College,394524,28855,101,0,Personal Auto,SUV,647
18,WC83389,OREGON,F,College,571033,51148,72,0,Personal Auto,FOUR-DOOR CAR,308
19,FL50705,CALIFORNIA,F,High School or Below,816261,66140,101,0,Corporate Auto,FOUR-DOOR CAR,484
20,ZK25313,OREGON,F,High School or Below,287205,57749,74,0,Personal Auto,TWO-DOOR CAR,355
21,QK46697,WASHINGTON,M,Bachelors,617710,61040,79,1,Personal Auto,TWO-DOOR CAR,20
22,YH23384,ARIZONA,F,Bachelor,2412750,14072,71,0,Personal Auto,FOUR-DOOR CAR,511
23,TZ98966,NEVADA,F,Bachelor,245019,0,73,3,Corporate Auto,FOUR-DOOR CAR,554
24,HM55802,CALIFORNIA,F,Bachelor,239210,17870,61,0,Corporate Auto,FOUR-DOOR CAR,439
25,FS42516,OREGON,F,College,580206,97541,72,0,Personal Auto,FOUR-DOOR CAR,389
26,US89481,CALIFORNIA,F,Bachelor,394637,0,111,0,Personal Auto,FOUR-DOOR CAR,799
27,HS14476,WASHINGTON,M,College,916206,29723,80,0,Personal Auto,FOUR-DOOR CAR,20
28,GE62437,Arizona,F,College,1290256,86584,111,2,Personal Auto,FOUR-DOOR CAR,532
29,EJ77678,OREGON,F,Master,323536,75690,80,1,Personal Auto,FOUR-DOOR CAR,384
30,SV85652,ARIZONA,F,College,245458,23158,63,1,Personal Auto,FOUR-DOOR CAR,322
31,UL64533,NEVADA,F,High School or Below,1897545,65999,237,0,Corporate Auto,LUXURY,615
32,PF41800,CALIFORNIA,F,Bachelor,471532,0,65,0,Personal Auto,FOUR-DOOR CAR,308
33,HD95276,WASHINGTON,F,College,473787,0,130,0,Personal Auto,SUV,23
34,SK67821,OREGON,F,Bachelor,493291,37260,62,0,Corporate Auto,FOUR-DOOR CAR,15
35,YV55495,ARIZONA,F,High School or Below,574422,68987,71,0,Personal Auto,FOUR-DOOR CAR,204
